org_no,org_type,ref_no,org_prefix,enabled,created_at,updated_at
1,pg,0,pg,1,NOW(),NOW()
2,room,1,AG,1,NOW(),NOW()
3,room,2,IG,1,NOW(),NOW()
4,room,3,QC,1,NOW(),NOW()
5,room,4,GGSJ,1,NOW(),NOW()
6,room,5,GGSB,1,NOW(),NOW()
7,room,6,GGNG,1,NOW(),NOW()
8,room,7,GGOS,1,NOW(),NOW()
9,room,8,KKSB,1,NOW(),NOW()
10,room,9,KKSJ,1,NOW(),NOW()
11,room,10,SAP,1,NOW(),NOW()
12,room,11,CLT,1,NOW(),NOW()
13,room,12,NG,1,NOW(),NOW()
14,room,13,Rela,1,NOW(),NOW()
15,room,14,NCA,1,NOW(),NOW()
16,room,15,Gut,1,NOW(),NOW()
17,room,16,RGS,1,NOW(),NOW()
18,room,17,NCS,1,NOW(),NOW()
19,room,18,8YH,1,NOW(),NOW()
20,room,19,BBEB,1,NOW(),NOW()
21,room,20,BKNK,1,NOW(),NOW()
22,brand,1,JOPT,1,NOW(),NOW()
23,brand,2,U30,1,NOW(),NOW()
24,brand,3,USTD,1,NOW(),NOW()
25,brand,4,MSTS,1,NOW(),NOW()
26,brand,5,SPL,1,NOW(),NOW()
27,brand,6,SGKT,1,NOW(),NOW()
28,brand,7,SBPF,1,NOW(),NOW()
29,brand,8,SJPF,1,NOW(),NOW()
30,brand,9,TOPC,1,NOW(),NOW()
31,brand,10,HKRR,1,NOW(),NOW()
32,brand,11,XPT,1,NOW(),NOW()
33,brand,12,FRKZ,1,NOW(),NOW()
34,brand,13,MJSN,1,NOW(),NOW()
35,brand,14,JPF,1,NOW(),NOW()
36,brand,15,POIS,1,NOW(),NOW()
37,brand,16,AJPC,1,NOW(),NOW()
38,brand,17,WSOP,1,NOW(),NOW()
39,brand,18,OST,1,NOW(),NOW()
40,brand,19,GOLD,1,NOW(),NOW()
41,brand,20,NPS,1,NOW(),NOW()
42,brand,21,WSP,1,NOW(),NOW()
