owner_no,url_type,url
1,site,https://akibacc.com/
1,twitter,https://twitter.com/AkibaGuild
1,instagram,https://www.instagram.com/akiba_guild/
2,site,https://ikebukurokk.com/
2,twitter,https://twitter.com/AG_Ikebukuro
2,instagram,https://www.instagram.com/guild.ikebukuro/
3,site,https://akiba-casino.jp/
3,twitter,https://twitter.com/AKB_CASINOQUEST
3,instagram,https://www.instagram.com/akb_casinoquest/
4,site,https://ggpokerlive.jp/shinjuku/
4,twitter,https://twitter.com/ggpl_shinjuku
4,instagram,https://www.instagram.com/ggpl_shinjuku/
5,site,https://ggpokerlive.jp/tokyo/
5,twitter,https://twitter.com/GGLIVETOKYO
5,instagram,https://www.instagram.com/ggpl_shibuya/
6,site,https://ggpokerlive.jp/nagoya/
6,twitter,https://twitter.com/GGPLnagoya
7,site,https://ggpokerlive.jp/umeda/
7,twitter,https://twitter.com/GGPL_osaka
7,instagram,https://www.instagram.com/ggpl_osaka/
8,site,https://kklivepoker.com/shibuya/
8,twitter,https://twitter.com/KKLIVESHIBUYA
8,instagram,https://www.instagram.com/kklivepokershibuya/
9,site,https://kklivepoker.com/shinjuku/
9,twitter,https://twitter.com/kklive_poker
10,site,https://tokyoaa.com/akasaka/
10,twitter,https://twitter.com/Akasaka_de_Po
11,site,https://casino-live-tokyo.com/
11,twitter,https://twitter.com/casino_live__
11,instagram,https://www.instagram.com/casinolivetokyo/
12,site,https://nagoyaguild.com/
12,twitter,https://twitter.com/AGNagoyaguild
12,instagram,https://www.instagram.com/nagoyaguild/
13,site,https://kanazawa-poker.com/
13,twitter,https://twitter.com/SPARKL_casino
13,instagram,https://www.instagram.com/sparkl_casino/
14,site,https://www.nekokaji-akiba.com/
14,twitter,https://twitter.com/neko_akiba
14,instagram,https://www.instagram.com/nekokaji_akiba/
15,site,https://gutshot.group/
15,twitter,https://twitter.com/GS_ikenohata
15,instagram,https://www.instagram.com/explore/locations/102925352517053/
16,site,https://www.usagi-casino.com/
16,twitter,https://twitter.com/otsukausagisan
17,site,https://roppongi.backdoor.casino/
17,twitter,https://twitter.com/ROPPONGI_BD
17,instagram,https://www.instagram.com/roppongi_backdoor/
18,site,https://www.enpoker.net/
18,twitter,https://twitter.com/enpokermachida
18,instagram,https://www.instagram.com/enpoker_machida/
19,twitter,https://twitter.com/BUBBLE_AKASAKA
20,site,https://bakenekopokerclub.com/
20,twitter,https://twitter.com/bakeneko_poker
20,instagram,https://www.instagram.com/bakeneko_poker/
