pickup_item_no,game_time,game_title,game_price,game_price_unit,game_player_count
5,15:00:00,リングゲーム,3000,円,10
6,15:00:00,ルーレット,1500,円,10
7,15:00:00,大富豪,1000,円,8
8,15:00:00,ブラックジャック,2000,円,10
13,15:00:00,リングゲーム,3000,円,10
14,15:00:00,ルーレット,1500,円,10
15,15:00:00,大富豪,1000,円,8
16,15:00:00,ブラックジャック,2000,円,10
21,17:00:00,リングゲーム,3000,円,10
22,17:00:00,ルーレット,1500,円,10
23,17:00:00,大富豪,1000,円,8
24,17:00:00,ブラックジャック,2000,円,10
29,13:00:00,リングゲーム,3000,円,10
30,13:00:00,ルーレット,1500,円,10
31,13:00:00,大富豪,1000,円,8
32,13:00:00,ブラックジャック,2000,円,10
37,15:00:00,リングゲーム,3000,円,10
38,15:00:00,ルーレット,1500,円,10
39,15:00:00,大富豪,1000,円,8
40,15:00:00,ブラックジャック,2000,円,10
45,16:00:00,リングゲーム,3000,円,10
46,16:00:00,ルーレット,1500,円,10
47,16:00:00,大富豪,1000,円,8
48,16:00:00,ブラックジャック,2000,円,10
53,15:00:00,リングゲーム,3000,円,10
54,15:00:00,ルーレット,1500,円,10
55,15:00:00,大富豪,1000,円,8
56,15:00:00,ブラックジャック,2000,円,10
61,13:00:00,リングゲーム,3000,円,10
62,13:00:00,ルーレット,1500,円,10
63,13:00:00,大富豪,1000,円,8
64,13:00:00,ブラックジャック,2000,円,10
69,13:30:00,リングゲーム,3000,円,10
70,13:30:00,ルーレット,1500,円,10
71,13:30:00,大富豪,1000,円,8
72,13:30:00,ブラックジャック,2000,円,10
77,21:00:00,リングゲーム,3000,円,10
78,21:00:00,ルーレット,1500,円,10
79,21:00:00,大富豪,1000,円,8
80,21:00:00,ブラックジャック,2000,円,10
85,15:00:00,リングゲーム,3000,円,10
86,15:00:00,ルーレット,1500,円,10
87,15:00:00,大富豪,1000,円,8
88,15:00:00,ブラックジャック,2000,円,10
93,17:00:00,リングゲーム,3000,円,10
94,17:00:00,ルーレット,1500,円,10
95,17:00:00,大富豪,1000,円,8
96,17:00:00,ブラックジャック,2000,円,10
101,18:00:00,リングゲーム,3000,円,10
102,18:00:00,ルーレット,1500,円,10
103,18:00:00,大富豪,1000,円,8
104,18:00:00,ブラックジャック,2000,円,10
109,15:00:00,リングゲーム,3000,円,10
110,15:00:00,ルーレット,1500,円,10
111,15:00:00,大富豪,1000,円,8
112,15:00:00,ブラックジャック,2000,円,10
117,13:00:00,リングゲーム,3000,円,10
118,13:00:00,ルーレット,1500,円,10
119,13:00:00,大富豪,1000,円,8
120,13:00:00,ブラックジャック,2000,円,10
125,15:00:00,リングゲーム,3000,円,10
126,15:00:00,ルーレット,1500,円,10
127,15:00:00,大富豪,1000,円,8
128,15:00:00,ブラックジャック,2000,円,10
133,15:00:00,リングゲーム,3000,円,10
134,15:00:00,ルーレット,1500,円,10
135,15:00:00,大富豪,1000,円,8
136,15:00:00,ブラックジャック,2000,円,10
141,20:00:00,リングゲーム,3000,円,10
142,20:00:00,ルーレット,1500,円,10
143,20:00:00,大富豪,1000,円,8
144,20:00:00,ブラックジャック,2000,円,10
149,15:00:00,リングゲーム,3000,円,10
150,15:00:00,ルーレット,1500,円,10
151,15:00:00,大富豪,1000,円,8
152,15:00:00,ブラックジャック,2000,円,10
157,18:00:00,リングゲーム,3000,円,10
158,18:00:00,ルーレット,1500,円,10
159,18:00:00,大富豪,1000,円,8
160,18:00:00,ブラックジャック,2000,円,10
