owner_no,tel,address,lat,lon,access,table_count,payment_method
1,03-6206-8948,東京都千代田区外神田1-11-6 小暮ビル4F,35.699457,139.771018,秋葉原駅徒歩3分,6,現金、クレカ、PokerWebCoin
2,03-6912-7815,東京都豊島区東池袋1丁目22-5 サンケエビルB1,35.729510,139.715600,池袋駅徒歩4分,7,現金、クレカ、PokerWebCoin
3,03-5244-4193,東京都千代田区外神田3-14-9 第26東ビル7F,35.701030,139.771290,秋葉原駅徒歩5分,5,現金、クレカ、PokerWebCoin
4,03-6233-8879,東京都新宿区歌舞伎町1-25-3 西武新宿駅前ビルWAMALL 3F,35.694630,139.700630,西武新宿駅徒歩1分,8,現金、クレカ、PokerWebCoin
5,03-6427-8010,東京都渋谷区宇田川町12-9 JouleShibuya 10F,35.661538,139.698189,渋谷駅ハチ公口徒歩5分,9,現金、クレカ、PokerWebCoin
6,052-253-9721,愛知県名古屋市中区栄3丁目9-2 GEMS栄6階,35.167430,136.903870,栄駅徒歩5分,8,現金、クレカ、PokerWebCoin
7,06-6809-2388,大阪府大阪市北区太融寺町8-17 プラザ梅田ビル5F,34.701700,135.502310,大阪駅徒歩8分,6,現金、クレカ、PokerWebCoin
8,03-6452-5290,東京都渋谷区宇田川町12-7 エメラルドビル6F,35.661562,139.697939,渋谷駅徒歩4分,8,現金、クレカ、PokerWebCoin
9,03-4363-3620,東京都新宿区歌舞伎町1-23-15 SUZUYAビル3F,35.693968,139.700955,新宿駅東口徒歩3分,9,現金、クレカ、PokerWebCoin
10,080-7180-9888,東京都港区赤坂3-10-4 月世界ビル4F BaneBAGUS赤坂見附店内,35.676060,139.736800,赤坂見附駅徒歩1分,4,現金、クレカ、PokerWebCoin
11,03-6205-6155,東京都新宿区歌舞伎町1-23-15 SUZUYAビル9F,35.693968,139.700955,西武新宿駅徒歩2分,8,現金、クレカ、PokerWebCoin
12,052-452-5778,愛知県名古屋市中村区椿町14-6 11CUBESビル6F,35.168752,136.880589,名駅西口徒歩1分,7,現金、クレカ、PokerWebCoin
13,076-262-2160,石川県金沢市片町19-7-1,36.558922,136.651425,北鉄バス 片町駅（パシオン前）徒歩30秒,5,現金、クレカ、PokerWebCoin
14,03-3526-2282,東京都千代田区外神田1-15-18 奥山ビル4F,35.697771,139.771579,秋葉原駅電気街口徒歩1分,8,現金、クレカ、PokerWebCoin
15,03-5826-4246,東京都台東区上野2-11-20 タンポポビル2F,35.709410,139.771340,京成上野駅徒歩3分,7,現金、クレカ、PokerWebCoin
16,03-5972-1523,東京都豊島区北大塚2丁目14-8 日米ビル3F,35.732110,139.729460,大塚駅から徒歩2分,7,現金、クレカ、PokerWebCoin
17,03-6804-5500,東京都港区六本木3-15-24 1F,35.662700,139.735290,六本木交差点から徒歩3分,7,現金、クレカ、PokerWebCoin
18,050-1253-2719,東京都町田市原町田4-1-3みすずビル2F,35.541410,139.447170,町田駅徒歩1分,8,現金、クレカ、PokerWebCoin
19,03-5797-7073,東京都港区赤坂３丁目２１−１０ 赤坂靑明会館B1F,35.676440,139.735920,赤坂見附駅 徒歩1分,8,現金、クレカ、PokerWebCoin
20,03-6205-7622,東京都港区新橋3丁目7-3 新橋フォディアビルB1F,35.665670,139.755080,新橋駅徒歩5分,8,現金、クレカ、PokerWebCoin
