search_type,ref_no,tag_no
tournament,1,22
tournament,1,143
tournament,1,266
tournament,1,278
tournament,1,291
tournament,2,22
tournament,2,143
tournament,2,266
tournament,2,278
tournament,2,291
tournament,3,22
tournament,3,143
tournament,3,266
tournament,3,278
tournament,3,267
tournament,4,22
tournament,4,143
tournament,4,266
tournament,4,278
tournament,4,291
tournament,5,22
tournament,5,121
tournament,5,266
tournament,5,278
tournament,5,299
tournament,6,22
tournament,6,121
tournament,6,266
tournament,6,278
tournament,6,299
tournament,7,22
tournament,7,129
tournament,7,266
tournament,7,278
tournament,7,299
tournament,8,22
tournament,8,129
tournament,8,266
tournament,8,278
tournament,8,299
tournament,9,22
tournament,9,123
tournament,9,266
tournament,9,278
tournament,9,291
tournament,10,22
tournament,10,123
tournament,10,266
tournament,10,278
tournament,10,291
tournament,11,22
tournament,11,266
tournament,11,278
tournament,11,291
tournament,12,22
tournament,12,266
tournament,12,278
tournament,12,291
tournament,13,36
tournament,13,212
tournament,13,266
tournament,13,278
tournament,13,291
tournament,14,36
tournament,14,212
tournament,14,266
tournament,14,278
tournament,14,291
tournament,15,22
tournament,15,123
tournament,15,266
tournament,15,278
tournament,15,291
tournament,16,22
tournament,16,123
tournament,16,266
tournament,16,278
tournament,16,291
tournament,17,22
tournament,17,129
tournament,17,266
tournament,17,278
tournament,17,291
tournament,18,22
tournament,18,129
tournament,18,266
tournament,18,278
tournament,18,291
tournament,19,22
tournament,19,134
tournament,19,266
tournament,19,278
tournament,19,291
tournament,20,22
tournament,20,134
tournament,20,266
tournament,20,278
tournament,20,291
tournament,21,22
tournament,21,266
tournament,21,278
tournament,21,299
tournament,21,291
tournament,22,22
tournament,22,266
tournament,22,278
tournament,22,299
tournament,22,291
tournament,23,22
tournament,23,266
tournament,23,278
tournament,23,291
tournament,24,22
tournament,24,266
tournament,24,278
tournament,24,291
tournament,25,22
tournament,25,266
tournament,25,278
tournament,25,291
tournament,26,22
tournament,26,266
tournament,26,278
tournament,26,291
tournament,27,22
tournament,27,266
tournament,27,278
tournament,27,291
tournament,28,22
tournament,28,266
tournament,28,278
tournament,28,291
tournament,29,22
tournament,29,266
tournament,29,278
tournament,29,291
tournament,30,22
tournament,30,266
tournament,30,278
tournament,30,291
tournament,31,22
tournament,31,266
tournament,31,278
tournament,31,291
tournament,32,22
tournament,32,266
tournament,32,278
tournament,32,291
tournament,33,22
tournament,33,158
tournament,33,266
tournament,33,278
tournament,34,22
tournament,34,158
tournament,34,266
tournament,34,278
tournament,34,272
tournament,35,22
tournament,35,266
tournament,35,278
tournament,35,291
tournament,36,22
tournament,36,266
tournament,36,278
tournament,36,291
tournament,37,22
tournament,37,266
tournament,37,278
tournament,38,22
tournament,38,266
tournament,38,278
tournament,38,291
tournament,39,22
tournament,39,266
tournament,39,278
tournament,39,291
tournament,40,22
tournament,40,266
tournament,40,278
tournament,40,291
news,1,22
news,1,304
news,1,302
news,2,36
news,2,304
news,2,302
news,3,22
news,3,304
news,3,303
news,4,36
news,4,304
news,4,303
news,5,22
news,5,304
news,5,297
news,6,22
news,6,304
news,6,298
news,7,22
news,7,304
news,7,299
news,8,36
news,8,304
news,8,299
news,9,22
news,9,304
news,9,300
news,10,22
news,10,304
news,10,301
