tournament_no,seq,level,small_blind,big_blind,giant_blind,ante,blind_min
1,1,1,100,200,0,0,15
1,2,2,200,400,0,0,15
1,3,3,300,600,0,0,15
1,4,4,400,800,0,100,15
1,5,-1,0,0,0,0,15
1,6,5,500,1000,0,100,15
1,7,6,600,1200,0,100,15
1,8,7,800,1600,0,200,15
1,9,8,1000,2000,0,200,15
1,10,-1,0,0,0,0,15
1,11,9,1200,2400,0,300,15
1,12,10,1500,3000,0,400,15
1,13,11,2000,4000,0,500,15
1,14,12,2500,5000,0,600,15
1,15,13,3000,6000,0,800,15
1,16,14,4000,8000,0,1000,15
1,17,15,5000,10000,0,1200,15
1,18,16,6000,12000,0,1500,15
2,1,1,100,200,0,0,15
2,2,2,200,400,0,0,15
2,3,3,300,600,0,0,15
2,4,4,400,800,0,100,15
2,5,-1,0,0,0,0,15
2,6,5,500,1000,0,100,15
2,7,6,600,1200,0,100,15
2,8,7,800,1600,0,200,15
2,9,8,1000,2000,0,200,15
2,10,-1,0,0,0,0,15
2,11,9,1200,2400,0,300,15
2,12,10,1500,3000,0,400,15
2,13,11,2000,4000,0,500,15
2,14,12,2500,5000,0,600,15
2,15,13,3000,6000,0,800,15
2,16,14,4000,8000,0,1000,15
3,1,1,100,200,0,0,15
3,2,2,200,400,0,0,15
3,3,3,300,600,0,100,15
3,4,4,500,1000,0,100,15
3,5,5,800,1600,0,200,15
3,6,6,1000,2000,0,200,15
3,7,7,1500,3000,0,400,15
3,8,8,2000,4000,0,500,15
4,1,1,100,200,0,0,15
4,2,2,200,400,0,0,15
4,3,3,300,600,0,0,15
4,4,4,400,800,0,100,15
4,5,-1,0,0,0,0,15
4,6,5,500,1000,0,100,15
4,7,6,600,1200,0,100,15
4,8,7,800,1600,0,200,15
4,9,8,1000,2000,0,200,15
4,10,-1,0,0,0,0,15
4,11,9,1200,2400,0,300,15
4,12,10,1500,3000,0,400,15
4,13,11,2000,4000,0,500,15
4,14,12,2500,5000,0,600,15
4,15,13,3000,6000,0,800,15
4,16,14,4000,8000,0,1000,15
5,1,1,100,200,0,0,10
5,2,2,200,400,0,0,10
5,3,3,300,600,0,0,10
5,4,4,400,800,0,100,10
5,5,5,500,1000,0,100,10
5,6,-1,0,0,0,0,10
5,7,6,600,1200,0,100,10
5,8,7,800,1600,0,200,10
5,9,8,1000,2000,0,200,10
5,10,9,1200,2400,0,300,10
5,11,10,1500,3000,0,400,10
5,12,-1,0,0,0,0,10
5,13,11,2000,4000,0,500,10
5,14,12,2500,5000,0,600,10
5,15,13,3000,6000,0,800,10
5,16,14,4000,8000,0,1000,10
5,17,15,5000,10000,0,1200,10
5,18,16,6000,12000,0,1500,10
6,1,1,100,200,0,0,10
6,2,2,200,400,0,0,10
